"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"a","23.58",0.83,"u","g","q","v",0.415,"f","t","01","t","g","00200",11,"-"
"b","39.17",2.5,"y","p","i","h",10,"f","f","0","t","s","00200",0,"-"
"b","23.08",2.5,"u","g","c","v",1.085,"t","t","11","t","g","00060",2184,"+"
"b","48.33",12,"u","g","m","v",16,"t","f","0","f","s","00110",0,"+"
"b","23.17",0,"u","g","cc","v",0.085,"t","f","0","f","g","00000",0,"+"
"a","35.42",12,"u","g","q","h",14,"t","t","08","f","g","00000",6590,"+"
"b","19.42",1.5,"y","p","cc","v",2,"t","f","0","t","g","00100",20,"-"
"b","23.00",0.75,"u","g","m","v",0.5,"t","f","0","t","s","00320",0,"-"
"b","23.08",0,"u","g","k","v",1,"f","t","11","f","s","00000",0,"-"
"b","22.00",0.79,"u","g","w","v",0.29,"f","t","01","f","g","00420",283,"-"
"a","21.75",1.75,"y","p","j","j",0,"f","f","0","f","g","00160",0,"-"
"a","17.58",9,"u","g","aa","v",1.375,"t","f","0","t","g","00000",0,"+"
"b","74.83",19,"y","p","ff","ff",0.04,"f","t","02","f","g","00000",351,"-"
"b","33.17",3.165,"y","p","x","v",3.165,"t","t","03","t","g","00380",0,"+"
"b","60.08",14.5,"u","g","ff","ff",18,"t","t","15","t","g","00000",1000,"+"
"b","32.67",9,"y","p","w","h",5.25,"t","f","0","t","g","00154",0,"+"
"b","25.25",1,"u","g","aa","v",0.5,"f","f","0","f","g","00200",0,"-"
"b","23.42",1,"u","g","c","v",0.5,"f","f","0","t","s","00280",0,"-"
"b","19.42",6.5,"u","g","w","h",1.46,"t","t","07","f","g","00080",2954,"+"
"b","15.17",7,"u","g","e","v",1,"f","f","0","f","g","00600",0,"-"
"b","32.75",2.335,"u","g","d","h",5.75,"f","f","0","t","g","00292",0,"-"
"b","42.75",4.085,"u","g","aa","v",0.04,"f","f","0","f","g","00108",100,"-"
"a","?",11.25,"u","g","ff","ff",0,"f","f","0","f","g","?",5200,"-"
"b","22.08",0.83,"u","g","c","h",2.165,"f","f","0","t","g","00128",0,"+"
"a","38.33",4.415,"u","g","c","v",0.125,"f","f","0","f","g","00160",0,"-"
"a","19.50",0.165,"u","g","q","v",0.04,"f","f","0","t","g","00380",0,"-"
"b","45.00",8.5,"u","g","cc","h",14,"t","t","01","t","g","00088",2000,"+"
"b","36.67",2,"u","g","i","v",0.25,"f","f","0","t","g","00221",0,"-"
"b","27.75",0.585,"y","p","cc","v",0.25,"t","t","02","f","g","00260",500,"+"
"a","16.00",0.165,"u","g","aa","v",1,"f","t","02","t","g","00320",1,"-"
"a","34.83",1.25,"y","p","i","h",0.5,"f","f","0","t","g","00160",0,"-"
"b","26.92",2.25,"u","g","i","bb",0.5,"f","f","0","t","g","00640",4000,"-"
"b","34.08",6.5,"u","g","aa","v",0.125,"t","f","0","t","g","00443",0,"-"
"b","30.17",6.5,"u","g","cc","v",3.125,"t","t","08","f","g","00330",1200,"+"
"a","23.00",1.835,"u","g","j","j",0,"f","t","01","f","g","00200",53,"-"
"a","36.75",4.71,"u","g","ff","ff",0,"f","f","0","f","g","00160",0,"-"
"b","51.58",15,"u","g","c","v",8.5,"t","t","09","f","g","00000",0,"+"
"b","45.17",1.5,"u","g","c","v",2.5,"t","f","0","t","g","00140",0,"-"
"a","25.17",2.875,"u","g","x","h",0.875,"t","f","0","f","g","00360",0,"+"
"b","37.42",2.04,"u","g","w","v",0.04,"t","f","0","t","g","00400",5800,"+"
"a","20.83",8.5,"u","g","c","v",0.165,"f","f","0","f","g","00000",351,"-"
"a","31.25",3.75,"u","g","cc","h",0.625,"t","t","09","t","g","00181",0,"+"
